index,DateTime,Open,Close,High,Low,Volume,Previous_Close
2424,2018-02-21 12:52:00-05:00,67.47,67.47,67.47,67.47,5,66.95
2425,2018-02-21 12:52:05-05:00,67.48,67.51,67.52,67.48,43,66.95
2426,2018-02-21 12:52:10-05:00,67.5,67.5,67.5,67.5,45,66.95
2427,2018-02-21 12:52:15-05:00,67.5,67.5,67.5,67.5,0,66.95
2428,2018-02-21 12:52:20-05:00,67.5,67.5,67.5,67.5,0,66.95
2429,2018-02-21 12:52:25-05:00,67.5,67.5,67.5,67.5,10,66.95
2430,2018-02-21 12:52:30-05:00,67.48,67.48,67.48,67.48,22,66.95
2431,2018-02-21 12:52:35-05:00,67.48,67.48,67.48,67.48,0,66.95
2432,2018-02-21 12:52:40-05:00,67.49,67.49,67.49,67.49,45,66.95
2433,2018-02-21 12:52:45-05:00,67.49,67.49,67.49,67.49,0,66.95
2434,2018-02-21 12:52:50-05:00,67.49,67.47,67.49,67.47,90,66.95
2435,2018-02-21 12:52:55-05:00,67.47,67.47,67.47,67.47,0,66.95
2436,2018-02-21 12:53:00-05:00,67.47,67.47,67.47,67.47,0,66.95
2437,2018-02-21 12:53:05-05:00,67.47,67.47,67.47,67.47,0,66.95
2438,2018-02-21 12:53:10-05:00,67.47,67.47,67.47,67.47,0,66.95
2439,2018-02-21 12:53:15-05:00,67.47,67.47,67.47,67.47,0,66.95
2440,2018-02-21 12:53:20-05:00,67.48,67.48,67.48,67.48,42,66.95
2441,2018-02-21 12:53:25-05:00,67.48,67.48,67.48,67.48,0,66.95
2442,2018-02-21 12:53:30-05:00,67.47,67.48,67.48,67.47,30,66.95
2443,2018-02-21 12:53:35-05:00,67.48,67.48,67.48,67.48,0,66.95
2444,2018-02-21 12:53:40-05:00,67.47,67.47,67.47,67.47,15,66.95
2445,2018-02-21 12:53:45-05:00,67.5,67.48,67.5,67.47,65,66.95
2446,2018-02-21 12:53:50-05:00,67.48,67.48,67.48,67.48,0,66.95
2447,2018-02-21 12:53:55-05:00,67.48,67.48,67.48,67.48,0,66.95
2448,2018-02-21 12:54:00-05:00,67.48,67.48,67.48,67.48,0,66.95
2449,2018-02-21 12:54:05-05:00,67.48,67.48,67.5,67.48,50,66.95
2450,2018-02-21 12:54:10-05:00,67.46,67.44,67.46,67.44,35,66.95
2451,2018-02-21 12:54:15-05:00,67.44,67.44,67.44,67.44,0,66.95
2452,2018-02-21 12:54:20-05:00,67.44,67.44,67.44,67.44,0,66.95
2453,2018-02-21 12:54:25-05:00,67.44,67.44,67.44,67.44,0,66.95
