Open,Close,High,Low,Volume,Previous_Close
618.31,619.43,619.64,618.31,612,604.17
619.43,618.97,620.0,618.97,741,604.17
618.81,619.38,619.49,618.68,695,604.17
619.34,619.26,619.61,618.72,369,604.17
619.3,619.1,619.61,619.02,417,604.17
619.12,619.75,620.0,618.71,612,604.17
619.84,621.38,621.64,619.41,1936,604.17
621.47,622.82,623.0,621.39,1666,604.17
622.88,622.82,623.13,621.98,1221,604.17
622.78,623.76,623.99,622.78,1486,604.17
623.76,623.66,623.86,622.82,1021,604.17
623.52,623.01,623.8,622.04,971,604.17
623.1,621.43,623.15,620.24,1022,604.17
621.56,622.33,622.42,620.77,948,604.17
622.33,621.92,622.38,620.97,557,604.17
621.98,623.59,623.88,621.86,1007,604.17
623.66,624.44,624.49,623.28,1283,604.17
624.46,622.82,624.46,622.67,835,604.17
622.66,622.83,622.99,621.65,821,604.17
622.92,623.84,623.94,622.52,576,604.17
623.94,623.14,624.04,622.55,838,604.17
623.18,622.26,623.18,621.7,530,604.17
622.15,622.97,623.02,622.1,564,604.17
622.88,621.73,623.28,621.44,738,604.17
621.6,622.09,622.44,621.52,577,604.17
622.13,622.3,622.6,621.28,637,604.17
622.12,622.31,622.39,621.57,286,604.17
622.23,623.3,623.3,622.23,794,604.17
623.27,622.85,623.76,622.85,749,604.17
622.95,623.56,623.99,622.9,543,604.17
623.64,623.9,624.17,623.57,639,604.17
623.93,624.98,625.0,623.92,1333,604.17
624.98,624.46,625.0,623.54,1201,604.17
624.48,623.97,624.59,623.68,500,604.17
623.99,622.96,624.41,622.6,942,604.17
622.96,622.41,623.66,622.4,712,604.17
622.41,623.22,623.49,622.39,568,604.17
623.12,622.83,623.53,622.6,799,604.17
622.77,623.58,623.58,622.66,652,604.17
623.6,623.77,623.8,623.11,558,604.17
623.65,624.65,624.82,623.55,924,604.17
624.55,622.67,624.71,622.52,899,604.17
622.64,622.03,623.37,621.74,1156,604.17
622.06,622.8,622.87,622.0,800,604.17
622.98,623.7,623.97,622.85,797,604.17
623.73,624.21,624.4,623.64,711,604.17
624.19,624.51,624.7,624.1,923,604.17
624.57,624.98,625.0,624.5,836,604.17
624.99,624.71,625.25,623.9,1237,604.17
624.71,624.83,625.21,624.53,1064,604.17
624.9,625.8,625.94,624.11,1680,604.17
625.82,626.46,626.65,625.72,1331,604.17
626.57,627.22,627.25,626.01,1245,604.17
627.25,627.33,627.75,626.97,3163,604.17
