index,Open,Close,High,Low,Volume,Previous_Close,Volume_weighted_avg_price,Number_of_transactions
2656,723.82,723.58,724.8116,723.75,11003,709.755,724.2684648732159,242
2657,723.6743,724.36,724.1,723.67,2019,709.755,723.8427828132744,36
2658,724.35,723.55,724.76,723.8,27173,709.755,724.4034209840643,415
2659,723.8,724.3,724.16,723.0,24555,709.755,723.5217509020576,402
2660,724.305,723.5,724.58,723.8,27903,709.755,724.0810326774895,506
2661,723.68,722.73,723.81,722.8,8160,709.755,723.3564587867652,239
2662,722.8,723.46,723.34,722.61,13948,709.755,722.9620123673648,325
2663,723.41,722.71,723.41,722.99,2836,709.755,723.1825880818054,35
2664,722.71,721.98,723.05,722.0,12514,709.755,722.3022078152464,358
2665,722.0,722.82,722.48,721.57,25744,709.755,722.0340742153509,564
2666,722.75,721.98,722.75,722.135,1412,709.755,722.4947478753539,25
2667,722.135,722.76,722.59,721.91,4361,709.755,722.3069337307955,80
2668,722.76,722.0,722.9924,722.27,9272,709.755,722.4533405953408,170
2669,722.0,721.268,722.0,721.3,4396,709.755,721.6720646041852,134
2670,721.33,722.0,721.88,721.0,11977,709.755,721.2867613175255,229
2671,721.6,722.8799,722.7,721.6,29837,709.755,722.1072158360422,633
2672,722.9,723.61,723.5,722.86,6684,709.755,723.1107702274089,204
2673,723.73,724.3462,724.27,723.73,1683,709.755,723.9369093285803,56
2674,724.045,723.605,724.29,723.63,6214,709.755,724.0375747988412,140
2675,723.8,724.35,724.22,723.42,20154,709.755,723.8844134117294,321
2676,724.35,723.61,724.56,723.83,14983,709.755,724.1807426616838,244
2677,723.5451,724.3954,723.985,723.4001,4297,709.755,723.7270212241096,113
2678,724.3954,723.55,724.62,724.28,7310,709.755,724.4231799179206,117
2679,724.595,725.38,725.2,724.3651,10539,709.755,724.8576979504699,241
2680,725.38,726.1399,726.0,725.02,8922,709.755,725.569051244115,146
2681,726.1399,725.3689,726.1399,725.5,6964,709.755,725.7982672889144,114
2682,725.612,726.2399,726.04,725.585,12877,709.755,725.8071372447,188
2683,726.2519,730.5161,726.2519,725.735,10369,709.755,726.0299106374767,171
2684,725.75,725.28,726.36,725.44,9423,709.755,725.9134214687468,164
2685,725.28,726.01,725.97,724.66,21945,709.755,725.2842185463654,369
2686,726.0408,726.75,726.68,725.96,5270,709.755,726.3566039089186,83
2687,726.35,726.02,726.87,726.1,33986,709.755,726.3545240275406,480
2688,726.02,725.2501,726.15,725.47,6894,709.755,725.8348101537567,136
2689,725.2501,726.0307,725.4614,725.0501,3576,709.755,725.32307553132,55
2690,725.295,726.1,725.96,725.295,1580,709.755,725.7707146835443,46
2691,725.955,725.32,725.955,725.46,2855,709.755,725.6480510683012,66
2692,725.16,724.58,725.57,724.69,17395,709.755,725.0873163380282,310
2693,724.5581,723.585,724.7963,723.91,5906,709.755,724.3292087707418,151
2694,723.585,722.85,724.11,723.0,11074,709.755,723.546492956475,355
2695,723.0849,723.58,723.56,722.56,11968,709.755,722.9462518048133,433
2696,723.3837,724.356,724.1954,723.13,8037,709.755,723.6917403011074,171
2697,724.118,723.6,724.5353,723.74,16442,709.755,724.1188559907542,246
2698,723.3501,722.8,723.7699,723.0,20432,709.755,723.3294051194204,393
2699,722.8,723.53,723.36,722.34,10267,709.755,722.8107782896659,367
2700,723.67,724.27,724.2,723.31,7475,709.755,723.745158220736,160
2701,724.36,725.0,724.8999,724.3241,5490,709.755,724.6431606193078,138
2702,725.0,725.8,725.7,724.76,10102,709.755,725.1202657691551,208
2703,725.8,724.4923,726.16,725.44,11475,709.755,725.7838536644877,224
2704,725.635,726.4,726.22,725.43,11835,709.755,725.848999983101,235
2705,726.48,727.1497,727.0,726.0408,18025,709.755,726.5801312177534,328
2706,727.15,727.89,727.86,726.66,39553,709.755,727.3971313629821,632
2707,727.86,728.63,728.6,727.6531,56176,709.755,728.0908138137298,1025
2708,728.62,722.26,728.99,728.32,13661,709.755,728.7259116243317,248
2709,728.8654,727.84,728.97,728.0,15779,709.755,728.4962807845873,310
2710,727.98,727.1,728.44,727.2,26217,709.755,727.7447222374784,527
2711,727.0001,727.8303,727.57,726.6666,42838,709.755,727.1021191885719,935
2712,727.8303,728.67,728.5,727.31,13251,709.755,727.9070792015698,267
2713,728.5,727.94,729.11,728.0585,51877,709.755,728.7516223605833,960
2714,727.92,727.2,727.92,727.22,11763,709.755,727.5346039445715,253
2715,727.01,728.0,727.65,726.81,10516,709.755,727.1515402054015,224
2716,727.64,727.15,727.805,727.42,4161,709.755,727.5984814708004,89
2717,727.13,727.99,727.62,726.77,7652,709.755,727.0683196549926,169
2718,727.8,727.23,728.0,727.43,1679,709.755,727.770363311495,19
2719,727.23,728.0,727.23,727.23,180,709.755,727.5210555555556,7
2720,727.3747,727.59,727.3747,726.78,2027,709.755,727.184016773557,49
2721,727.59,726.77,727.59,726.99,1009,709.755,727.1777106045588,16
2722,727.1563,727.5,727.28,726.5,11437,709.755,726.8073662848644,220
2723,727.5,728.28,728.17,727.2001,25403,709.755,727.5837932252098,450
2724,728.49,727.5372,728.5,727.57,17617,709.755,728.0338093262186,330
2725,727.81,726.8,727.8599,726.85,20621,709.755,727.391795659764,373
2726,726.8,726.05,726.9743,726.25,16821,709.755,726.5712132929077,376
2727,726.05,727.0,726.26,725.62,10634,709.755,725.9018581530937,235
2728,727.0,726.06,727.0,727.0,4725,709.755,727.0,1
2729,726.06,726.79,726.72,725.82,8264,709.755,726.2796243465634,160
